,Control_R1,Control_R2,Control_R3,Control_R4,Control_R5
b0048_folA_49823_1,7.9985547661164,8.09724645241609,8.14479518423959,8.09190886336809,8.06025788458114
b0049_apaH_51222_-1,3.00571385094448,3.45097425667383,3.4302683431428,2.9253011641994,3.07827800246521
b0050_apaG_51606_-1,7.05769415291219,7.18701251997773,7.3672708346886,7.44796428106137,7.40948909444488
b0051_rsmA_52430_-1,4.87027300232755,4.78386860757753,4.76195426315382,4.86019607958482,4.53193227622202
b0052_pdxA_53416_-1,4.28933521039722,3.19593663437672,2.65728115565058,2.97861648465524,2.39315884476794
b0053_surA_54702_-1,8.49184936107082,8.56333337500597,8.42558722603688,8.47481205687047,8.56602754971084
b0054_lptD_57109_-1,5.11802207501077,5.61241673525915,4.97619250047867,5.58252617788997,5.65632279295148
b0055_djlA_57364_1,7.08631810878919,6.80940333056347,7.38391905108378,6.76216312199674,6.98580203725143
b4659_yabP_58474_1;b4659_yabP_59052_1,8.80992503121893,8.61110573893392,8.52999697537339,8.4508408920917,8.41698603993872
b0058_rluA_60346_-1,7.33632547054441,7.00494012627595,7.41664999271673,7.20676831957119,7.37521605550626
b0059_rapA_63264_-1,5.94402681387509,5.60587009307522,5.40814254310324,5.21703254606838,5.38587437938292
b0060_polB_65780_-1,4.87718700929582,4.5378367137232,5.10495062727288,4.86019607958482,4.27069619630343
b0061_araD_66550_-1,9.52657448329188,9.57201968632476,9.96798105929927,9.72684197931436,9.74312493518423
b0062_araA_68337_-1,7.58567238548807,7.66592586570903,7.32306434544585,7.76204386119875,7.66234871061503
b0063_araB_70048_-1,10.2175579592392,9.63224996541515,10.1672274394372,9.68610348589351,9.79926489804178
b0064_araC_70387_1,3.82924145738837,3.96228150516514,3.86913494814955,4.39487203748628,4.38534369568287
b0065_yabI_71351_1,3.64707689678441,3.16063710798824,2.92333666475669,3.17411955350743,3.2332676952652
b0066_thiQ_72927_-1,5.47778369420613,5.00895607398023,5.18312819234858,5.28209686587741,5.20412921330799
b0067_thiP_74521_-1,1.35163760087473,1.33278037441047,0.877342083377885,1.72538126015671,1.04269236756785
b0068_thiB_75480_-1,4.17053939568918,4.04203940991859,4.079987144181,3.97697329349541,4.1065821050705
b0069_sgrR_77299_-1,3.30134240536154,3.7170632155723,3.84368520328992,3.65545617188921,3.5799465333888
b4662_sgrT_77388_1,5.57453799332647,5.15959679665295,4.97619250047867,4.88832989522044,4.9372204227447
b0070_setA_77621_1,3.63080506441796,2.90737615094384,3.36020292472849,3.2411033680262,2.84174359853906
b0071_leuD_79453_-1,4.7992469766184,5.29598469569781,4.89798793438223,5.28209686587741,5.20412921330799
b0072_leuC_80864_-1,3.93904362420066,3.83371354118815,3.90648709484376,4.20659865678531,3.65500252296601
b0073_leuB_81958_-1,9.66034623918173,9.36904418632522,9.59307446898366,9.36518457077381,9.37843419051016
b0074_leuA_83529_-1,5.45485876888814,5.04327905876598,5.31398493868112,5.26073314573762,5.43993372580614
b0075_leuL_83708_-1,2.98025224214548,3.32908377204197,3.16852913910679,3.28409155438024,3.07827800246521
b0076_leuO_84368_1,6.75584844013873,6.48667166749292,6.77692826971566,6.32614818534746,6.2715579626038
b0077_ilvI_85630_1,7.65670662411786,7.58252597970108,7.94836612282154,7.69294284431879,7.66462084410585
b0078_ilvH_87357_1,4.91126858645665,5.06253168967343,5.54075315028717,5.21703254606838,5.00334203639279
b0080_cra_88028_1,5.02146980492312,5.51794464607069,5.13673179410574,5.71409803606483,5.53241169595442
b0081_mraZ_89634_1,4.07755234882235,3.86694553273197,3.86913494814955,3.95053152861463,3.95146139422144
b0082_rsmH_90094_1,3.36174615851553,3.49415286603189,3.48067098798756,3.30511465132243,3.28143933048421
b0083_ftsL_91032_1,3.96523633818784,3.52223697413706,3.57648260323689,3.44427643660991,3.43839969345196
b0084_ftsI_91413_1,5.5225688078297,6.28835082385285,5.91220088297599,6.35163250906552,6.34706280213553
b0085_murE_93166_1,5.19750978774873,5.15959679665295,5.61784286715734,5.73361396550019,5.5521814723949
