"","RNA_input"
"b0771_ybhJ_803503_1",1507
"b0772_ybhC_807281_-1",576
"b0773_ybhB_807909_-1",2249
"b0774_bioA_809257_-1",1529
"b0775_bioB_809344_1",1821
"b0776_bioF_810381_1",218
"b0777_bioC_811522_1",1079
"b0778_bioD_812270_1",772
"b0779_uvrB_813526_1",367
"b0780_ybhK_816647_-1",4374
"b0781_moaA_817044_1",3159
"b0782_moaB_818055_1",383
"b0783_moaC_818570_1",1503
"b0784_moaD_819048_1",745
"b0785_moaE_819295_1",186
"b0786_ybhL_819884_1",3186
"b0787_ybhM_820793_1",714
"b0788_ybhN_822498_-1",866
"b0789_clsB_823739_-1",278
"b0790_ybhP_824497_-1",2307
"b0791_ybhQ_824630_1",1624
"b0792_ybhR_826108_-1",629
"b0793_ybhS_827252_-1",1872
"b0794_ybhF_828981_-1",363
"b0795_ybhG_829972_-1",940
"b0796_ybiH_830643_-1",840
"b0797_rhlE_830872_1",100
"b0798_ybiA_832950_-1",643
"b0799_dinG_833070_1",135
"b0800_ybiB_835248_1",1906
"b0801_ybiC_836351_1",1584
"b0802_ybiJ_837925_-1",715
"b0803_ybiI_838456_-1",521
"b0804_ybiX_839207_-1",104
"b0805_fiu_841531_-1",368
"b0806_mcbA_842056_-1",701
"b0807_rlmF_842332_1",698
"b0808_ybiO_845480_-1",79
"b0809_glnQ_846463_-1",1524
"b0810_glnP_847119_-1",627
"b0811_glnH_848004_-1",855
"b0812_dps_848911_-1",1512
"b0813_rhtA_850097_-1",1718
"b0814_ompX_850450_1",269
"b0815_opgE_852597_-1",4936
"b4705_mntS_852997_-1",1063
"b0817_mntR_853183_1",3896
"b0818_ybiR_853647_1",275
