"","Control_R1","Control_R2","Control_R3","Control_R4","Control_R5"
"b2607_trmD_2745339_-1",1.93059842189685,3.60223519280813,1.90992507128666,1.37314846419717,1.04206177868823
"b2608_rimM_2745918_-1",5.74872030625291,5.760099922846,5.97700215077448,5.61572016736925,5.60448936116599
"b2609_rpsP_2746185_-1",7.73595987956775,8.12498912113432,7.36472453420214,7.76499612250857,7.97789794902761
"b2610_ffh_2747795_-1",5.31239809499633,5.28669600656629,5.40134977091941,5.39341635740253,5.21587021025215
"b2611_ypjD_2747962_1",0.885583161930328,1.12770282414911,0.878920008961377,1.01345111523671,1.14974062521537
"b4461_yfjD_2748774_1",4.76058995648641,4.80575464183963,4.58317514906693,5.02047556073649,4.62751027653856
"b2614_grpE_2750708_-1",8.06788823432449,8.25138965511824,7.99727701226127,8.11059002546715,8.24246801712108
"b2615_nadK_2750831_1",5.26579962547119,5.61128330428833,5.9681850489914,6.49262118740022,6.09004549415595
"b2616_recN_2751795_1",7.06801306940125,7.42481603678714,6.89815437148375,7.31482089243846,7.47498067389123
"b2617_bamE_2753605_1",4.90272649635892,5.06140097184858,5.3251354430371,5.26526401900272,5.26459306989053
"b2618_ratB_2754298_-1",5.52077323860621,5.64357805537231,5.53074179515991,5.61572016736925,5.39067063936349
"b2619_ratA_2754764_-1",6.19802007980156,6.33546055229061,6.349386787801,6.2514575804283,6.27680497989913
"b2620_smpB_2754896_1",4.42584381310022,5.42689409087543,4.48768999919137,5.10077416004642,5.0727214752695
"b2622_intA_2756159_1",5.74117018220762,5.80362378074428,5.6641109136017,5.94843336233881,5.78650578603975
"b2623_yfjH_2758600_-1",6.07127670267026,6.04276354137474,5.82902242850717,5.7171812369272,5.94063260604351
"b2624_alpA_2758644_1",8.454704443114,8.64787405656594,8.95536772530364,8.60523108028793,8.25759150330478
"b2625_yfjI_2758985_1",5.16218585353736,5.28669600656629,5.03550137475433,5.25450266586618,5.19087750423538
"b2626_yfjJ_2760547_1",2.9261979838006,2.77248504280424,2.36879277882071,2.68902514125973,2.47761130051702
"b2627_yfjK_2763540_-1",7.43738518601337,7.32579434725066,7.54353364245003,7.52753821000181,7.61660685168719
"b2628_yfjL_2765153_-1",5.87827262878841,5.97585068231465,6.23887606209413,6.22689473664847,6.24983257379746
"b2629_yfjM_2765776_-1",4.60290400789204,5.16737806038074,4.57545504100294,5.02681356466257,5.165444189837
"b2630_rnlA_2765918_1",5.42976879177151,5.21543650768326,5.5505661311606,5.03940664742443,4.77773867261111
"b2631_rnlB_2766984_1",3.9239927212455,3.62829001120062,3.83267434103353,3.38544512553137,3.41630451263377
"b2632_yfjP_2767710_1",8.5261879327972,8.01264171624709,8.56348888448781,8.2224981324708,8.22871999050405
"b2633_yfjQ_2768665_1",1.8764885778233,0.97363676728799,1.58030795539708,1.45062116452833,1.34362576094436
